gig_id,date,venue,venue_mbid,city,country,festival,event_mbid,status,notes
g190809,2019-08-09,Jao Dacha,,Pereslavl-Zalessky,Russia,Jao Da!Cha Festival 2019,,,
g190811,2019-08-11,Jao Dacha,,Pereslavl-Zalessky,Russia,Jao Da!Cha Festival 2019,,,
g190814,2019-08-14,adidas Originals Moscow Flagship Store,,Moscow,Russia,,,,
g190818,2019-08-18,,,Sochi,Russia,Live Fest 2019,,,
g190824,2019-08-24,,,Kiev,Ukraine,Brave! Factory Festival 2019,,,
g190825,2019-08-25,Gogol School,,Moscow,Russia,,,,
g190910,2019-09-10,Sveta Baar,,Tallinn,Estonia,,,,
g190911,2019-09-11,Melnā Piektdiena,,Riga,Latvia,,,,
g190913,2019-09-13,,,Lodz,Poland,Four Cultures Festival 2019,,,
g190914,2019-09-14,,,Vilnius,Lithuania,Loftas Fest '19,,,
g190916,2019-09-16,Festsaal Kreuzberg,b919bbf7-e5c1-4b47-b607-accc35efddd8,Berlin,Germany,,,,
g190917,2019-09-17,Garage Museum of Contemporary Art,,Moscow,Russia,Vedomosti 20th anniversary,,,
g190920,2019-09-20,,,Hamburg,Germany,Reeperbahn Festival 2019,,,
g190924,2019-09-24,DAS BETT,89d8bae5-fae3-4f4e-a145-512f189603f0,Frankfurt,Germany,,,,
g190926,2019-09-26,,,Vienna,Austria,Waves Vienna Festival,,,
g190927,2019-09-27,Kino siska,4f82da2d-30e8-4582-9b1a-72a08e0dbdf8,Ljubljana,Slovenia,,,,
g190928,2019-09-28,Klub Močvara,,Zagreb,Croatia,,,,
g190929,2019-09-29,Dürer Kert,,Budapest,Hungary,,,,
g191017,2019-10-17,GUM Demonstration Hall,,Moscow,Russia,Burberry Flagship Store Opening,,,
g191026,2019-10-26,,,Kaltern am See/Caldaro al Lago,Italy,Kaltern Pop Festival 2019,,,
g191108,2019-11-08,,,Brussels,Belgium,FiftyFifty Lab,,,
g191109,2019-11-09,,,Utrecht,Netherlands,Le Guess Who? 2019,,,
g191116,2019-11-16,Yubileyny Sports Palace,8b45dc92-803d-4e88-9f5c-d55f1781e200,Saint-Petersburg,Russia,,,,
g191121,2019-11-21,Adrenaline Stadium,113f76b3-efe3-4386-b949-503d98627c45,Moscow,Russia,,bea1cb0a-3b23-424f-bcd3-fbc9e36896c4,,
g191206,2019-12-06,,,Rennes,France,Trans Musicales 2019,,,
g200109,2020-01-09,,,Bali,Indonesia,Signal Asia,,,
g200118,2020-01-18,HELLERAU,,Dresden,Germany,Karussell Festival,,,
g200207,2020-02-07,,,The Hague,Netherlands,Grauzone Festival 2020,,,
g200222,2020-02-22,,,Leiden,Netherlands,Peel Slowly and See 2020,,,
g200529,2020-05-29,Proxima,1b50f9ca-afc7-48ad-ba4b-0e67e300fb94,Warsaw,Poland,,,Cancelled,"Rescheduled as g210531, due to COVID-19"
g200601,2020-06-01,MS Stubnitz,,Hamburg,Germany,,,Cancelled,COVID-19
g200602,2020-06-02,Melkweg,0c48200f-1ac7-4147-b891-4a021990af45,Amsterdam,Netherlands,,,Cancelled,"Rescheduled as g210608, due to COVID-19"
g200604,2020-06-04,Botanique,9fe4e083-a684-4c1f-9cda-716b994c2fcf,Brussels,Belgium,,,Cancelled,"Rescheduled as g210614, due to COVID-19"
g200606,2020-06-06,,,Porto,Portugal,Serralves em Festa,,Cancelled,COVID-19
g200609,2020-06-09,Belgrave Music Hall & Canteen,10691db3-debe-42b0-be7c-776a406563ea,Leeds,United Kingdom,,,Cancelled,COVID-19
g200615,2020-06-15,GLAZART,59fa67e2-b7b5-4908-a4fb-84caad3882a0,Paris,France,,,Cancelled,"Rescheduled as g210616, due to COVID-19"
g200617,2020-06-17,La Bulle Café,,Lille,France,,,Cancelled,"Rescheduled as g210615, due to COVID-19"
